_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,C-14 POPULATION IN FIVE YEAR AGE-GROUP BY RESIDENCE AND SEX ,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13
Table,State,Distt.,Area Name,Age-group,Total ,,,Rural,,,Urban,,
Name,Code,Code,,,,,,,,,,,
,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C4114,08,000,State - RAJASTHAN (08),25-29,5348497.0,2763059.0,2585438.0,3832693.0,1981853.0,1850840.0,1515804.0,781206.0,734598.0
C4114,08,000,State - RAJASTHAN (08),30-34,4722683.0,2384569.0,2338114.0,3412817.0,1716111.0,1696706.0,1309866.0,668458.0,641408.0
C4114,08,000,State - RAJASTHAN (08),35-39,4334564.0,2201790.0,2132774.0,3130395.0,1585834.0,1544561.0,1204169.0,615956.0,588213.0
C4114,08,000,State - RAJASTHAN (08),40-44,3735355.0,1926916.0,1808439.0,2704801.0,1390594.0,1314207.0,1030554.0,536322.0,494232.0
C4114,08,000,State - RAJASTHAN (08),45-49,3145404.0,1608512.0,1536892.0,2265671.0,1150068.0,1115603.0,879733.0,458444.0,421289.0
C4114,08,000,State - RAJASTHAN (08),50-54,2516808.0,1345007.0,1171801.0,1817629.0,968094.0,849535.0,699179.0,376913.0,322266.0
C4114,08,000,State - RAJASTHAN (08),55-59,1897449.0,935866.0,961583.0,1383879.0,668669.0,715210.0,513570.0,267197.0,246373.0
C4114,08,000,State - RAJASTHAN (08),60-64,1770139.0,884024.0,886115.0,1343329.0,666272.0,677057.0,426810.0,217752.0,209058.0
C4114,08,000,State - RAJASTHAN (08),65-69,1260376.0,589471.0,670905.0,971320.0,448876.0,522444.0,289056.0,140595.0,148461.0
C4114,08,000,State - RAJASTHAN (08),70-74,1016915.0,490011.0,526904.0,795430.0,382456.0,412974.0,221485.0,107555.0,113930.0
C4114,08,000,State - RAJASTHAN (08),75-79,477655.0,216016.0,261639.0,364642.0,162014.0,202628.0,113013.0,54002.0,59011.0
C4114,08,000,State - RAJASTHAN (08),80+,587053.0,252741.0,334312.0,449071.0,193050.0,256021.0,137982.0,59691.0,78291.0
C4114,08,000,State - RAJASTHAN (08),Age not stated,269602.0,137515.0,132087.0,214487.0,108656.0,105831.0,55115.0,28859.0,26256.0
C4114,09,000,State - UTTAR PRADESH (09),All ages,199812341.0,104480510.0,95331831.0,155317278.0,80992995.0,74324283.0,44495063.0,23487515.0,21007548.0
