geo_code,geo_level,age_group,area,Total,sex
25,state ,25-29,Rural,2709.0,Female
25,state ,30-34,Rural,2254.0,Female
25,state ,35-39,Rural,2080.0,Female
25,state ,40-44,Rural,1584.0,Female
25,state ,45-49,Rural,1270.0,Female
25,state ,50-54,Rural,1043.0,Female
25,state ,55-59,Rural,807.0,Female
25,state ,60-64,Rural,796.0,Female
25,state ,65-69,Rural,496.0,Female
25,state ,70-74,Rural,400.0,Female
25,state ,75-79,Rural,202.0,Female
25,state ,80+,Rural,224.0,Female
25,state ,Age not stated,Rural,40.0,Female
26,state ,0-4,Rural,10191.0,Female
26,state ,5-9,Rural,10246.0,Female
26,state ,10-14,Rural,10788.0,Female
26,state ,15-19,Rural,8238.0,Female
26,state ,20-24,Rural,8866.0,Female
26,state ,25-29,Rural,7402.0,Female
26,state ,30-34,Rural,5778.0,Female
26,state ,35-39,Rural,5229.0,Female
26,state ,40-44,Rural,4415.0,Female
26,state ,45-49,Rural,3772.0,Female
26,state ,50-54,Rural,2714.0,Female
26,state ,55-59,Rural,2175.0,Female
26,state ,60-64,Rural,2026.0,Female
26,state ,65-69,Rural,1294.0,Female
26,state ,70-74,Rural,898.0,Female
26,state ,75-79,Rural,351.0,Female
26,state ,80+,Rural,319.0,Female
26,state ,Age not stated,Rural,107.0,Female
27,state ,0-4,Rural,2549438.0,Female
27,state ,5-9,Rural,2678746.0,Female
27,state ,10-14,Rural,2967901.0,Female
27,state ,15-19,Rural,2770441.0,Female
27,state ,20-24,Rural,2746645.0,Female
27,state ,25-29,Rural,2435926.0,Female
27,state ,30-34,Rural,2176444.0,Female
27,state ,35-39,Rural,2112082.0,Female
27,state ,40-44,Rural,1838649.0,Female
27,state ,45-49,Rural,1559955.0,Female
27,state ,50-54,Rural,1274882.0,Female
27,state ,55-59,Rural,1078277.0,Female
27,state ,60-64,Rural,1184588.0,Female
27,state ,65-69,Rural,1088768.0,Female
27,state ,70-74,Rural,726447.0,Female
27,state ,75-79,Rural,340552.0,Female
27,state ,80+,Rural,390093.0,Female
27,state ,Age not stated,Rural,97206.0,Female
28,state ,0-4,Rural,2046552.0,Female
28,state ,5-9,Rural,2417777.0,Female
28,state ,10-14,Rural,2705542.0,Female
28,state ,15-19,Rural,2534076.0,Female
28,state ,20-24,Rural,2580607.0,Female
28,state ,25-29,Rural,2542439.0,Female
28,state ,30-34,Rural,2126704.0,Female
28,state ,35-39,Rural,2181914.0,Female
28,state ,40-44,Rural,1721080.0,Female
28,state ,45-49,Rural,1517706.0,Female
28,state ,50-54,Rural,1212242.0,Female
28,state ,55-59,Rural,1096785.0,Female
28,state ,60-64,Rural,1275689.0,Female
28,state ,65-69,Rural,850523.0,Female
28,state ,70-74,Rural,574771.0,Female
28,state ,75-79,Rural,235745.0,Female
28,state ,80+,Rural,298485.0,Female
28,state ,Age not stated,Rural,199824.0,Female
29,state ,0-4,Rural,1553599.0,Female
29,state ,5-9,Rural,1609002.0,Female
29,state ,10-14,Rural,1772750.0,Female
29,state ,15-19,Rural,1724455.0,Female
29,state ,20-24,Rural,1699841.0,Female
29,state ,25-29,Rural,1638021.0,Female
29,state ,30-34,Rural,1325352.0,Female
29,state ,35-39,Rural,1433319.0,Female
29,state ,40-44,Rural,1137021.0,Female
29,state ,45-49,Rural,1061765.0,Female
29,state ,50-54,Rural,821296.0,Female
29,state ,55-59,Rural,686748.0,Female
29,state ,60-64,Rural,709961.0,Female
29,state ,65-69,Rural,547638.0,Female
29,state ,70-74,Rural,383994.0,Female
29,state ,75-79,Rural,183775.0,Female
29,state ,80+,Rural,239568.0,Female
29,state ,Age not stated,Rural,11876.0,Female
30,state ,0-4,Rural,18407.0,Female
30,state ,5-9,Rural,19199.0,Female
30,state ,10-14,Rural,20362.0,Female
30,state ,15-19,Rural,20371.0,Female
30,state ,20-24,Rural,22700.0,Female
30,state ,25-29,Rural,24667.0,Female
30,state ,30-34,Rural,24054.0,Female
30,state ,35-39,Rural,24118.0,Female
30,state ,40-44,Rural,19820.0,Female
30,state ,45-49,Rural,17813.0,Female
30,state ,50-54,Rural,14609.0,Female
30,state ,55-59,Rural,13040.0,Female
30,state ,60-64,Rural,13016.0,Female
30,state ,65-69,Rural,9263.0,Female
30,state ,70-74,Rural,6809.0,Female
30,state ,75-79,Rural,3694.0,Female
30,state ,80+,Rural,3919.0,Female
30,state ,Age not stated,Rural,434.0,Female
31,state ,0-4,Rural,605.0,Female
31,state ,5-9,Rural,656.0,Female
31,state ,10-14,Rural,777.0,Female
31,state ,15-19,Rural,622.0,Female
31,state ,20-24,Rural,600.0,Female
31,state ,25-29,Rural,623.0,Female
31,state ,30-34,Rural,593.0,Female
31,state ,35-39,Rural,526.0,Female
31,state ,40-44,Rural,438.0,Female
31,state ,45-49,Rural,357.0,Female
31,state ,50-54,Rural,301.0,Female
31,state ,55-59,Rural,279.0,Female
31,state ,60-64,Rural,198.0,Female
31,state ,65-69,Rural,144.0,Female
31,state ,70-74,Rural,95.0,Female
31,state ,75-79,Rural,42.0,Female
31,state ,80+,Rural,35.0,Female
31,state ,Age not stated,Rural,7.0,Female
32,state ,0-4,Rural,632531.0,Female
32,state ,5-9,Rural,661127.0,Female
32,state ,10-14,Rural,736441.0,Female
32,state ,15-19,Rural,669609.0,Female
32,state ,20-24,Rural,705778.0,Female
32,state ,25-29,Rural,729997.0,Female
32,state ,30-34,Rural,685286.0,Female
32,state ,35-39,Rural,736288.0,Female
32,state ,40-44,Rural,667921.0,Female
32,state ,45-49,Rural,649445.0,Female
32,state ,50-54,Rural,516245.0,Female
32,state ,55-59,Rural,456523.0,Female
32,state ,60-64,Rural,373570.0,Female
32,state ,65-69,Rural,284728.0,Female
32,state ,70-74,Rural,211313.0,Female
32,state ,75-79,Rural,154915.0,Female
32,state ,80+,Rural,182706.0,Female
32,state ,Age not stated,Rural,8658.0,Female
33,state ,0-4,Rural,1345260.0,Female
33,state ,5-9,Rural,1439582.0,Female
33,state ,10-14,Rural,1598994.0,Female
33,state ,15-19,Rural,1607865.0,Female
33,state ,20-24,Rural,1656464.0,Female
33,state ,25-29,Rural,1708000.0,Female
33,state ,30-34,Rural,1405706.0,Female
33,state ,35-39,Rural,1519260.0,Female
33,state ,40-44,Rural,1251772.0,Female
33,state ,45-49,Rural,1195482.0,Female
33,state ,50-54,Rural,936410.0,Female
33,state ,55-59,Rural,813158.0,Female
33,state ,60-64,Rural,757736.0,Female
33,state ,65-69,Rural,532226.0,Female
33,state ,70-74,Rural,386460.0,Female
33,state ,75-79,Rural,178675.0,Female
33,state ,80+,Rural,200214.0,Female
33,state ,Age not stated,Rural,17261.0,Female
34,state ,0-4,Rural,15416.0,Female
34,state ,5-9,Rural,16158.0,Female
34,state ,10-14,Rural,17379.0,Female
34,state ,15-19,Rural,16625.0,Female
34,state ,20-24,Rural,19117.0,Female
34,state ,25-29,Rural,20398.0,Female
34,state ,30-34,Rural,17246.0,Female
34,state ,35-39,Rural,16756.0,Female
34,state ,40-44,Rural,12855.0,Female
34,state ,45-49,Rural,11610.0,Female
34,state ,50-54,Rural,8648.0,Female
34,state ,55-59,Rural,7629.0,Female
34,state ,60-64,Rural,7136.0,Female
34,state ,65-69,Rural,4982.0,Female
34,state ,70-74,Rural,3889.0,Female
34,state ,75-79,Rural,1999.0,Female
34,state ,80+,Rural,2210.0,Female
34,state ,Age not stated,Rural,240.0,Female
35,state ,0-4,Rural,9206.0,Female
35,state ,5-9,Rural,9416.0,Female
35,state ,10-14,Rural,10495.0,Female
35,state ,15-19,Rural,9725.0,Female
35,state ,20-24,Rural,10886.0,Female
35,state ,25-29,Rural,11883.0,Female
35,state ,30-34,Rural,9866.0,Female
35,state ,35-39,Rural,9378.0,Female
35,state ,40-44,Rural,7038.0,Female
35,state ,45-49,Rural,6441.0,Female
35,state ,50-54,Rural,4688.0,Female
35,state ,55-59,Rural,3773.0,Female
35,state ,60-64,Rural,3203.0,Female
35,state ,65-69,Rural,1992.0,Female
35,state ,70-74,Rural,1218.0,Female
35,state ,75-79,Rural,654.0,Female
35,state ,80+,Rural,865.0,Female
35,state ,Age not stated,Rural,79.0,Female
1,state ,0-4,Rural,514398.0,Female
1,state ,5-9,Rural,524062.0,Female
1,state ,10-14,Rural,521725.0,Female
1,state ,15-19,Rural,449010.0,Female
1,state ,20-24,Rural,404069.0,Female
1,state ,25-29,Rural,353024.0,Female
1,state ,30-34,Rural,303075.0,Female
