table,state_code,district_code,area_name,total,age_group,total_p,total_m,total_f,never_married_t,never_married_m,never_married_f,curr_married_t,curr_married_m,curr_married_f,widowed_t,widowed_m,widowed_f,separated_t,separated_m,separated_f,divorced_t,divorced_m,divorced_f,unspecified_t,unspecified_m,unspecified_f
C0402,1,0,State - JAMMU & KASHMIR (01),Total,70-74,184019,97472,86547,4312,2577,1735,112876,74906,37970,65415,19203,46212,862,484,378,554,302,252,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,75-79,85076,43094,41982,1842,1109,733,49903,31314,18589,32765,10348,22417,370,224,146,196,99,97,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,80+,126870,65844,61026,7245,4241,3004,57125,39482,17643,61678,21617,40061,568,381,187,254,123,131,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,Age not stated,15119,9747,5372,10513,7291,3222,4205,2311,1894,365,123,242,22,15,7,14,7,7,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,Less than 18,4996362,2647174,2349188,4944123,2628225,2315898,49827,17892,31935,1423,584,839,774,390,384,215,83,132,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,Less than 21,5772600,3044597,2728003,5617998,2998189,2619809,150358,44687,105671,2476,955,1521,1265,597,668,503,169,334,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,All ages,9108060,4774477,4333583,5131602,2826384,2305218,3660037,1844767,1815270,291311,92756,198555,12004,5104,6900,13106,5466,7640,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,0-9,2224345,1185885,1038460,2224345,1185885,1038460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,10-14,1097236,575511,521725,1079979,568625,511354,16305,6444,9861,550,253,297,325,165,160,77,24,53,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,15-19,926108,477098,449010,869012,461340,407672,55752,15231,40521,765,294,471,398,172,226,181,61,120,0,0,0
